territory,year,area,code,surface,WeWorld Index Italia,Sottoindice Contesto,Sottoindice Minori,Sottoindice Donne,Contesto: Ambiente,Contesto: Abitazione,Contesto: Digitalizzazione,Contesto: Sicurezza e protezione,Contesto: Violenza contro donne e bambini,Minori: Salute,Minori: Istruzione,Minori: Povertà educativa,Minori: Capitale umano,Minori: Capitale economico,Donne: Salute,Donne: Educazione,Donne: Opportunità economiche,Donne: Conciliazione vita-lavoro,Donne: Partecipazione politica,Indicatore 1,Indicatore 2,Indicatore 3,Indicatore 4,Indicatore 5,Indicatore 6,Indicatore 7,Indicatore 8,Indicatore 9,Indicatore 10,Indicatore 11,Indicatore 12,Indicatore 13,Indicatore 14,Indicatore 15,Indicatore 16,Indicatore 17,Indicatore 18,Indicatore 19,Indicatore 20,Indicatore 21,Indicatore 22,Indicatore 23,Indicatore 24,Indicatore 25,Indicatore 26,Indicatore 27,Indicatore 28,Indicatore 29,Indicatore 30,Indicatore 1 (dato),Indicatore 2 (dato),Indicatore 3 (dato),Indicatore 4 (dato),Indicatore 5 (dato),Indicatore 6 (dato),Indicatore 7 (dato),Indicatore 8 (dato),Indicatore 9 (dato),Indicatore 10 (dato),Indicatore 11 (dato),Indicatore 12 (dato),Indicatore 13 (dato),Indicatore 14 (dato),Indicatore 15 (dato),Indicatore 16 (dato),Indicatore 17 (dato),Indicatore 18 (dato),Indicatore 19 (dato),Indicatore 20 (dato),Indicatore 21 (dato),Indicatore 22 (dato),Indicatore 23 (dato),Indicatore 24 (dato),Indicatore 25 (dato),Indicatore 26 (dato),Indicatore 27 (dato),Indicatore 28 (dato),Indicatore 29 (dato),Indicatore 30 (dato),Popolazione (totale),Popolazione (0-17),Popolazione (donne),Popolazione (0-13),EU Social Progress Index 2.0,Subnational HDI,PIL per abitante
Campania,2020,Sud,15.0,13670.9477,34.1,52.0,34.3,22.2,62.2,62.4,39.4,65.3,38.2,39.5,47.9,17.9,56.3,25.0,41.5,15.3,21.6,9.68,40.4,58.3,66.2,58.0,66.8,45.3,33.5,51.6,79.0,67.6,8.72,8.81,70.3,53.2,42.5,33.1,2.69,67.5,45.1,44.9,5.17,45.5,37.5,28.9,1.83,17.1,26.1,12.2,7.14,53.9,27.0,14.28571428571429,452.0,7.9,15.7,45.46524060537554,30.05,0.7,4.7,0.20549074700852563,55.785803846604765,39.1,1018.0920162381597,46.849999999999994,57.45,19.0,4.2,53.4,23.4,20.9,18103.2,66.3,57.1,28.6,5.2,24.5969521292927,27.8,11.0,56.1,33.2,15.7,5712143.0,1006498.0,2927527.0,752370.0,,0.856,18103.2
Campania,2021,Sud,15.0,13670.9477,36.0,55.3,34.2,24.6,62.0,63.9,48.1,62.0,43.8,41.5,45.2,26.6,39.4,23.9,45.4,16.9,21.2,14.6,37.9,63.1,60.8,63.8,63.9,55.0,41.2,46.4,77.6,82.8,4.84,13.2,69.7,51.2,39.2,50.5,2.69,67.5,11.2,38.8,8.99,50.7,40.2,28.4,5.41,16.7,25.8,14.0,15.2,48.9,27.0,13.21428571428571,472.0,6.8,17.1,55.10283300610253,35.825,0.8,5.0,0.10428095932225719,58.15245149389005,37.8,1020.654794520548,48.8,60.8,16.4,4.2,53.4,5.8,23.2,19900.916583574843,67.3,57.9,28.5,7.2,24.7357921143607,27.7,11.7,59.9,31.4,15.7,5624260.0,998534.0,2885222.0,745078.0,,0.859,19900.916583574843
Campania,2022,Sud,15.0,13670.9477,38.9,56.5,39.3,26.5,58.8,65.8,56.1,58.0,45.7,45.4,46.9,27.6,55.1,29.0,41.4,20.5,18.9,22.8,35.5,54.9,62.7,65.4,66.2,63.4,48.9,41.5,74.5,83.5,7.95,17.7,73.0,52.0,41.8,52.5,2.69,68.0,42.2,45.1,12.8,44.0,38.8,35.4,5.59,12.7,25.1,17.9,27.7,44.0,27.0,15.03571428571429,465.0,6.5,16.0,63.471322976290146,41.6,0.9,5.7,0.1,56.256105187007755,36.5,1005.2099447513813,48.0,58.2,16.1,4.2,53.8,21.9,20.8,21718.614653373683,66.0,57.5,30.1,7.3,25.9081247843408,27.5,13.2,65.8,29.6,15.7,5624420.0,978676.0,2876843.0,727772.0,,0.868,21718.614653373683
Campania,2023,Sud,15.0,13670.9477,39.4,56.2,41.4,26.3,58.8,68.0,60.5,57.3,40.4,45.4,48.1,27.9,65.4,30.6,37.1,25.0,17.3,22.1,35.5,54.9,62.7,65.4,70.6,72.0,48.9,41.5,73.2,72.8,7.95,17.7,73.0,53.9,42.3,53.1,2.69,71.8,59.0,45.1,16.0,39.9,34.4,42.3,7.74,9.51,25.1,17.9,26.4,44.0,27.0,15.03571428571429,465.0,6.5,13.9,72.0985566634985,41.6,0.9,6.0,0.17,56.256105187007755,36.5,1005.2099447513813,46.1,57.7,16.0,4.2,56.8,30.6,20.8,23213.84579681168,65.2,56.2,31.7,8.5,26.857579302287,27.5,13.2,65.2,29.6,15.7,5609536.0,959767.0,2870290.0,712971.0,80.0,,23213.84579681168
Centro,2018,,,,53.9,50.1,66.9,46.8,50.1,73.6,25.5,54.5,61.6,68.6,67.1,63.2,80.3,57.2,44.2,35.3,38.1,66.3,57.0,61.6,38.7,69.7,77.6,23.1,28.0,69.3,39.6,69.0,54.2,54.5,82.6,69.4,64.8,90.6,35.8,85.6,75.0,79.4,35.0,44.5,43.9,61.8,8.81,50.3,25.8,69.8,62.8,65.7,48.3,13.551274449221621,554.0,5.7,10.6,23.258870557931225,25.9,0.4,13.5,0.19600825913467906,28.014259282042925,25.7,960.7743562628575,30.6,35.2,10.4,24.3,67.7,38.9,7.8,32140.8593691335,66.1,59.0,36.2,9.1,14.740767495167,27.7,33.3,82.4,37.5,25.7,11889462.0,1869681.0,6148909.0,1445449.0,,,32140.8593691335
Centro,2019,,,,56.8,56.0,67.2,48.6,52.2,76.9,36.3,57.6,65.7,70.0,66.3,62.5,79.0,59.8,43.3,40.6,38.6,69.2,57.5,64.4,40.0,72.9,81.0,34.3,38.4,69.3,45.9,69.0,62.4,54.5,85.5,68.4,64.2,89.3,35.6,86.3,71.7,83.1,36.6,47.1,39.5,72.2,8.99,51.4,25.8,75.0,63.4,60.8,54.2,12.917966951082228,549.0,5.1,9.0,34.449310251120465,33.675,0.4,12.1,0.19600825913467906,22.9960950765854,25.7,947.347843934426,31.6,35.8,10.6,24.2,68.2,37.2,6.4,32895.94673310942,66.6,57.7,38.6,9.2,14.4139208417147,27.7,35.3,82.7,35.725,28.5,11868484.0,1843654.0,6132374.0,1417636.0,,,32895.94673310942
Centro,2020,,,,58.0,60.0,64.3,50.5,55.4,73.6,42.7,67.7,65.7,70.9,64.2,55.5,75.2,57.7,49.6,43.6,37.2,68.4,59.8,63.5,47.3,65.4,81.8,36.7,48.7,69.3,66.0,73.6,57.8,54.5,87.3,66.8,61.7,79.9,31.2,86.5,63.8,85.0,30.4,47.1,52.1,80.5,6.66,48.9,25.5,77.0,59.8,55.9,63.6,13.1165174260353,522.0,6.5,8.6,36.84401101165159,41.45,0.4,7.6,0.16414326489817618,25.779642980651825,25.7,939.1132694225458,33.25,38.25,12.0,21.5,68.4,33.1,5.7,30008.2,66.6,61.4,40.5,7.9,15.16436911133,27.6,36.1,81.0,33.95,32.9,11831092.0,1819018.0,6112008.0,1389785.0,,,30008.2
Centro,2021,,,,57.3,62.0,62.0,49.0,55.9,73.5,54.6,67.2,60.7,70.9,62.2,64.6,53.7,59.8,43.4,40.8,38.1,72.9,57.3,68.5,43.3,65.9,81.0,50.2,59.1,69.3,65.1,59.4,61.9,54.5,87.2,65.1,59.3,94.6,34.5,87.0,20.4,82.3,37.2,38.8,48.0,69.6,12.0,50.0,26.1,78.6,67.2,51.1,63.6,12.015000758568435,537.0,6.4,9.0,50.285349824924644,49.225,0.4,7.8,0.263543370261799,23.302160461069864,25.7,939.2685076728482,34.9,40.7,9.8,23.5,68.8,10.6,6.7,33210.185138163375,65.0,60.2,38.0,10.9,14.8333357293456,27.8,36.7,84.5,32.175,32.9,11786952.0,1805655.0,6083938.0,1369782.0,,,33210.185138163375
Centro,2022,,,,61.5,66.1,68.2,51.6,54.5,80.6,63.8,65.2,69.0,75.1,62.4,69.9,70.0,64.3,50.5,47.8,39.0,70.6,54.9,64.2,44.9,76.1,85.2,58.3,69.4,69.3,61.1,72.8,65.2,54.5,95.6,64.8,60.0,105.0,34.5,87.5,52.4,84.2,44.4,51.2,49.7,82.2,13.3,51.2,26.8,84.0,57.3,46.2,63.6,12.969243149612034,531.0,4.5,7.0,58.38839305821702,57.0,0.4,8.7,0.17,21.270121599020325,25.7,900.3943176949394,35.2,40.0,8.2,23.5,69.2,27.2,6.0,36602.22615186461,67.4,60.7,40.9,11.6,14.4892051242583,28.0,38.8,79.8,30.4,32.9,11724035.0,1782100.0,6038208.0,1338443.0,,,36602.22615186461
Centro,2023,,,,62.3,65.1,71.4,52.0,54.5,80.0,66.5,61.6,65.3,75.1,61.6,73.9,81.6,66.4,45.8,54.1,37.9,69.3,58.6,64.2,44.9,76.1,84.0,63.5,69.4,69.3,53.9,65.5,65.2,54.5,95.6,64.5,58.6,113.0,34.5,89.5,73.6,84.2,48.7,47.1,44.6,91.8,16.5,48.7,27.1,84.0,54.5,46.2,71.0,12.969243149612034,531.0,4.5,7.6,63.630453080568614,57.0,0.4,10.3,0.22,21.280380112692843,25.7,900.3603787214288,35.5,41.4,7.0,23.5,70.8,38.2,6.0,38599.48280717925,66.6,59.2,43.1,13.4,15.2361291197976,28.1,38.8,78.5,30.4,36.4,11723222.0,1753064.0,6036051.0,1304469.0,,,38599.48280717925
Emilia-Romagna,2018,Nord-est,8.0,22452.7779,57.4,51.2,72.8,50.7,30.6,87.6,39.6,46.2,72.0,79.6,68.6,69.2,82.9,65.4,41.9,45.7,34.8,76.9,65.6,46.5,14.8,80.8,94.3,24.9,54.2,69.3,23.1,70.0,74.1,57.9,101.0,69.7,67.5,88.0,50.4,86.3,79.6,87.1,43.7,41.9,41.9,77.4,14.0,53.2,16.5,85.0,68.7,61.0,70.2,16.91666666666667,642.3333333333334,3.6,2.7,25.062393770206782,45.6,0.4,17.2,0.18913653570101238,15.815466374764448,24.7,874.0558213716108,30.3,32.5,10.8,33.2,68.2,41.3,4.9,36267.160553372116,65.6,58.4,39.8,12.0,13.8987427852168,24.9,39.2,85.2,35.8,36.0,4445920.0,705259.0,2286741.0,548033.0,,0.923,36267.160553372116
Emilia-Romagna,2019,Nord-est,8.0,22452.7779,58.0,50.8,72.7,52.7,32.0,83.7,45.9,48.4,57.1,80.7,67.6,68.2,83.0,65.8,43.8,47.3,37.5,74.8,70.1,48.7,15.3,74.5,93.0,30.1,61.7,63.0,33.8,42.5,71.6,62.0,99.4,68.3,66.9,85.9,50.4,87.4,78.7,87.2,44.3,44.0,43.6,81.8,12.8,57.9,17.1,87.3,62.3,69.9,70.2,16.41666666666667,640.6666666666666,4.8,3.3,30.230596083172678,51.25,0.5,14.8,0.3930007440814088,17.354669647363423,23.5,882.6439024390244,31.7,33.1,11.1,33.2,69.1,40.8,4.85,36544.041467793264,66.0,58.9,40.8,11.3,12.5003117066411,25.1,40.1,82.2,39.05,36.0,4459453.0,701402.0,2289806.0,542826.0,,0.927,36544.041467793264
Emilia-Romagna,2020,Nord-est,8.0,22452.7779,61.0,59.5,70.8,53.8,31.0,88.5,52.0,65.2,80.4,80.1,65.8,69.8,76.2,63.3,55.4,44.5,36.1,72.2,70.3,46.3,15.7,83.5,93.5,34.8,69.3,76.1,54.4,78.6,82.1,58.9,101.0,66.9,64.6,92.6,47.0,87.1,65.2,87.3,39.4,53.3,57.5,79.2,9.89,55.0,17.1,88.9,55.6,78.9,61.7,16.95833333333333,639.0,3.1,3.1,34.979141101733816,56.900000000000006,0.3,10.2,0.13128312847695162,10.941643417987287,24.4,873.8071895424837,33.1,35.35,10.1,31.1,68.9,33.8,4.8,34217.5,67.8,63.0,40.2,9.7,13.347143462405,25.1,40.7,79.0,42.3,32.0,4464119.0,695380.0,2290338.0,534770.0,,0.919,34217.5
Emilia-Romagna,2021,Nord-est,8.0,22452.7779,59.2,57.8,66.0,54.4,35.0,88.2,60.3,53.2,64.9,76.4,64.0,72.6,52.9,66.5,45.6,51.9,35.8,75.5,74.7,54.9,15.2,84.0,92.4,43.8,76.8,51.6,54.8,47.6,82.1,53.1,99.8,65.5,62.4,94.0,51.3,86.9,18.9,85.2,47.7,45.5,45.6,87.9,16.0,53.8,17.8,91.2,59.8,87.8,61.7,15.04166666666667,641.0,3.0,3.6,43.9434396306554,62.550000000000004,0.7,10.1,0.3523800630407933,10.949610569568389,26.1,881.1243697478992,34.5,37.6,9.9,33.7,68.7,9.8,5.6,38147.08655095412,66.3,59.5,42.2,13.1,13.7211895939976,25.3,41.6,81.0,45.55,32.0,4438937.0,687029.0,2272949.0,524269.0,,0.928,38147.08655095412
Emilia-Romagna,2022,Nord-est,8.0,22452.7779,61.5,60.5,69.4,55.3,34.1,86.0,68.3,57.8,69.6,72.7,64.2,74.0,66.9,69.7,47.1,46.7,37.8,78.9,79.2,51.0,17.3,79.2,92.8,52.4,84.3,63.0,52.6,53.2,86.1,47.3,98.1,65.2,63.1,96.7,51.3,86.1,47.6,86.3,53.2,52.2,41.9,77.9,15.4,57.5,18.1,95.1,62.8,96.7,61.7,15.91666666666667,633.0,3.9,3.4,52.47055003005047,68.2,0.5,10.6,0.31,8.501388827653102,27.8,888.7219343696028,34.8,36.9,9.5,33.7,68.1,24.7,5.2,40738.6454893377,67.6,58.4,39.9,12.8,12.6162486520334,25.4,43.1,82.4,48.8,32.0,4425366.0,680430.0,2261831.0,514570.0,,0.935,40738.6454893377
Emilia-Romagna,2023,Nord-est,8.0,22452.7779,63.6,61.5,73.9,56.5,34.1,86.4,70.9,57.8,73.0,72.7,63.1,81.3,81.3,72.5,46.3,52.7,38.7,77.3,79.2,51.0,17.3,79.2,93.5,57.5,84.3,63.0,52.6,59.9,86.1,47.3,98.1,64.2,62.0,111.0,51.3,88.4,74.2,86.3,58.7,50.7,41.9,86.6,18.8,58.2,19.1,95.1,59.6,96.7,61.7,15.91666666666667,633.0,3.9,3.1,57.645454929990706,68.2,0.5,10.6,0.26,8.501388827653102,27.8,888.7219343696028,35.8,38.0,7.3,33.7,69.9,38.5,5.2,43345.70734341253,67.3,58.4,41.9,14.7,12.4064138551856,25.7,43.1,80.9,48.8,32.0,4437578.0,673516.0,2266572.0,505116.0,95.9,,43345.70734341253
Friuli-Venezia Giulia,2018,Nord-est,6.0,7862.302399999999,53.8,48.1,68.1,47.5,57.5,90.2,16.3,53.0,57.5,52.0,72.5,79.5,81.8,59.7,42.8,50.6,41.9,64.2,41.4,59.6,55.4,83.0,97.5,12.5,20.2,51.6,54.4,38.6,76.4,60.3,43.6,71.7,73.3,101.0,58.3,86.8,76.9,85.2,34.2,44.0,41.6,86.1,15.1,55.0,28.8,68.0,60.4,58.8,24.0,14.0,492.0,3.2,1.2,12.68314428541042,20.0,0.7,10.2,0.425146795216886,14.39418507128879,24.0,1141.825,28.3,26.7,8.9,38.0,68.6,39.9,5.6,31765.24548893294,66.0,58.3,41.8,12.6,13.3571809822789,28.6,32.6,81.3,35.0,14.3,1211155.0,178850.0,623608.0,137019.0,,0.904,31765.24548893294
Friuli-Venezia Giulia,2019,Nord-est,6.0,7862.302399999999,57.7,57.2,69.8,48.2,58.8,89.6,29.8,68.6,56.7,56.7,71.6,80.7,81.3,62.1,53.5,44.7,37.8,62.0,46.5,64.1,53.5,84.8,94.3,23.3,36.3,76.1,61.1,44.8,68.6,64.0,49.4,71.7,71.5,102.0,59.3,88.7,74.0,88.4,35.8,54.3,52.8,75.3,14.2,46.4,29.1,70.8,53.3,69.1,24.0,13.0,499.0,2.85,2.7,23.4766799592144,32.125,0.3,8.7,0.37452065138788704,19.16948931048586,22.9,1115.1570247933885,28.3,28.5,8.7,38.6,70.1,38.4,4.4,32530.139267566006,68.0,61.6,39.3,12.1,15.9131865282222,28.7,33.7,77.9,38.75,14.3,1210414.0,176778.0,621751.0,134934.0,,0.91,32530.139267566006
Friuli-Venezia Giulia,2020,Nord-est,6.0,7862.302399999999,60.1,62.3,68.3,51.2,56.9,91.4,39.9,80.5,56.1,60.3,69.0,75.3,80.1,58.9,59.9,47.1,37.1,64.8,51.7,59.6,54.3,86.7,96.2,27.3,52.4,83.4,77.6,51.3,60.8,70.5,50.2,69.8,68.2,101.0,49.3,90.1,70.2,86.5,31.3,58.9,60.9,84.8,9.35,46.1,28.1,73.7,56.0,79.4,24.0,14.0,496.0,2.5,1.8,27.51241501896612,44.25,0.2,5.0,0.3238945075588881,23.944793549682934,21.0,1111.453781512605,30.15,31.75,8.8,32.5,71.2,36.4,5.1,30424.9,68.9,64.0,41.5,9.4,15.9841393515114,28.4,34.8,79.2,42.5,14.3,1206216.0,174255.0,619497.0,132263.0,,0.904,30424.9
Friuli-Venezia Giulia,2021,Nord-est,6.0,7862.302399999999,60.8,69.9,64.7,49.8,60.0,90.7,55.9,79.6,68.7,61.7,66.5,79.2,55.2,63.3,43.9,51.0,40.5,59.4,56.8,67.1,53.0,87.8,93.7,43.2,68.6,83.4,75.9,62.4,75.1,74.9,48.4,68.0,65.0,103.0,55.7,89.3,21.0,88.1,38.5,42.9,45.0,86.6,15.4,52.2,28.8,78.8,39.9,89.7,24.0,12.33333333333333,501.0,2.3,3.0,43.37991535518947,56.375,0.2,5.4,0.24194725377944404,15.236011652603846,19.7,1119.7758620689656,32.0,35.0,8.6,36.4,70.6,10.9,4.5,33806.91816375929,65.8,59.3,41.9,12.8,14.2018219978323,28.6,36.8,71.6,46.25,14.3,1201510.0,172322.0,615649.0,129894.0,,0.908,33806.91816375929
Friuli-Venezia Giulia,2022,Nord-est,6.0,7862.302399999999,62.8,70.8,68.6,51.0,53.9,87.3,68.3,74.0,74.7,62.3,67.2,82.2,69.0,63.9,44.8,42.0,42.5,69.8,62.0,53.0,54.9,79.2,95.4,51.9,84.7,76.1,71.8,74.3,75.1,79.4,45.2,67.9,66.5,109.0,55.7,90.1,48.0,85.2,42.6,46.0,43.6,70.9,13.1,55.9,29.1,82.7,56.8,100.0,24.0,15.46666666666667,494.0,3.9,2.2,52.03500584473366,68.5,0.3,6.3,0.16,15.236011652603846,18.4,1134.642857142857,32.1,33.5,7.7,36.4,71.2,24.9,5.6,35742.044697756195,66.4,58.9,38.3,11.5,13.0920899009752,28.7,38.3,79.6,50.0,14.3,1194647.0,169986.0,611943.0,127080.0,,0.918,35742.044697756195
Friuli-Venezia Giulia,2023,Nord-est,6.0,7862.302399999999,64.9,70.0,71.6,54.5,53.9,87.1,70.9,67.5,74.7,62.3,65.2,85.9,81.8,66.0,48.9,49.3,42.5,70.1,67.1,53.0,54.9,79.2,94.9,57.0,84.7,76.1,58.9,74.3,75.1,79.4,45.2,66.1,64.4,116.0,55.7,91.9,71.7,85.2,46.7,50.2,47.7,77.4,21.2,56.6,28.5,82.7,57.5,100.0,34.2,15.46666666666667,494.0,3.9,2.4,57.132137520409664,68.5,0.3,9.2,0.16,15.236011652603846,18.4,1134.642857142857,33.9,35.6,6.6,36.4,72.7,37.2,5.6,37672.471533824515,67.2,60.1,39.8,16.0,12.8763951640517,28.5,38.3,79.9,50.0,19.1,1194248.0,167858.0,611346.0,124767.0,97.5,,37672.471533824515
Isole,2018,,,,33.8,40.1,37.7,25.5,68.3,55.6,16.5,57.3,28.9,69.1,49.4,14.9,58.4,25.7,38.3,9.79,26.1,22.8,48.3,73.6,63.0,66.5,44.7,16.9,16.0,51.6,62.9,46.7,11.2,36.8,101.0,54.3,44.5,11.6,18.2,65.1,51.7,44.9,6.49,44.5,32.0,15.4,4.16,28.1,24.1,19.4,26.2,72.0,24.6,10.866836847430196,464.0,6.3,26.2,17.08592715436474,16.9,0.7,8.3,0.3598161519371677,54.29404373067539,30.9,873.1313145427707,45.7,55.5,22.2,13.6,51.5,26.8,20.9,18726.226681727836,66.1,55.5,25.5,6.5,21.3425491412541,27.2,13.8,65.1,39.8,14.6,6573228.0,1074665.0,3368988.0,812304.0,,,
Isole,2019,,,,36.3,47.3,39.7,25.4,71.2,62.2,25.5,60.8,34.7,68.8,49.2,18.6,60.4,26.0,38.8,7.57,27.7,25.7,50.8,77.3,65.1,75.0,49.3,25.7,25.2,51.6,70.0,46.7,22.6,36.8,101.0,54.1,44.2,17.7,19.5,66.4,54.4,44.6,7.3,47.6,30.0,11.5,3.62,31.3,24.1,24.3,27.0,70.4,31.2,10.055306352321088,456.0,4.7,24.0,25.91724246225215,23.775,0.7,6.7,0.3598161519371677,47.28841883844522,30.9,875.8665954788603,45.9,55.8,21.3,14.4,52.5,28.2,21.0,19107.875788469322,66.7,54.9,24.6,6.2,20.3947956891934,27.2,15.7,65.5,39.224999999999994,17.7,6530805.0,1052812.0,3345800.0,794028.0,,,
Isole,2020,,,,38.6,51.5,40.9,27.3,73.1,57.6,33.4,64.9,39.5,66.8,47.1,21.6,55.0,30.8,44.2,8.38,26.3,31.4,50.0,77.9,68.4,56.4,58.8,32.5,34.3,51.6,78.1,58.3,20.8,36.8,96.9,52.3,41.9,27.0,16.2,66.5,43.4,56.7,4.83,49.1,39.2,13.7,3.08,28.7,23.8,24.9,38.0,68.8,31.2,9.915539820073159,444.0,8.2,19.5,32.65413727605505,30.65,0.7,4.9,0.2716960626712251,48.41857460532677,30.9,894.3461887745276,47.7,58.15,19.9,12.4,52.6,22.5,16.4,17940.514058925735,67.0,57.6,25.1,5.9,21.1572472460949,27.1,15.9,70.7,38.65,17.7,6486911.0,1032338.0,3324273.0,776469.0,,,
Isole,2021,,,,38.9,53.5,38.2,28.7,71.3,56.3,43.3,67.8,37.2,62.1,45.0,23.6,39.1,31.7,42.0,13.5,25.4,27.5,49.2,78.6,64.0,65.4,47.2,43.1,43.5,51.6,83.9,62.2,12.1,36.8,87.4,50.5,39.5,29.7,17.5,66.8,11.4,54.4,9.0,45.5,38.5,19.8,7.2,26.7,24.1,26.7,28.3,67.3,31.2,9.77166735829941,460.0,6.5,25.0,43.25854118108606,37.525,0.7,3.6,0.2432935006118071,53.723991133715614,30.9,938.4717353549754,49.5,60.5,19.5,13.2,52.8,5.9,17.3,19907.66847890904,66.3,57.4,26.5,8.2,21.7594303192856,27.2,16.6,66.1,38.075,17.7,6423749.0,1026941.0,3298880.0,771396.0,,,
Isole,2022,,,,41.5,58.2,42.1,29.2,72.1,55.9,53.2,64.0,48.7,58.3,45.0,29.0,49.9,34.7,43.0,17.8,24.2,23.5,48.4,79.4,64.8,68.6,43.2,53.7,52.6,46.4,81.7,71.3,26.0,36.8,79.9,50.2,39.7,40.4,17.5,66.9,33.0,55.9,13.5,49.1,36.8,28.4,7.2,24.2,24.1,29.8,17.3,65.7,31.2,9.57969453692101,457.0,5.9,26.9,53.78050721334387,44.4,0.8,4.1,0.18,45.21536930854622,30.9,973.4373773715957,49.8,60.3,17.9,13.2,52.9,17.1,16.7,22040.411201229308,67.0,56.9,28.5,8.2,22.4831922295744,27.2,17.8,60.9,37.5,17.7,6420742.0,1012330.0,3288299.0,757503.0,,,
Isole,2023,,,,41.9,57.2,44.9,28.7,72.1,58.6,54.9,63.6,41.6,58.3,45.0,31.3,60.4,36.5,39.8,16.8,25.3,23.8,48.4,79.4,64.8,68.6,48.7,57.1,52.6,46.4,80.8,57.2,26.0,36.8,79.9,50.8,39.3,45.1,17.5,69.6,51.3,55.9,17.1,48.6,31.0,25.0,8.63,26.4,24.1,29.8,17.9,65.7,31.2,9.57969453692101,457.0,5.9,24.3,57.20786718947013,44.4,0.8,4.3,0.28,45.21703675914766,30.9,973.4143173037564,49.2,60.7,17.2,13.2,55.0,26.6,16.7,23736.816305580083,66.9,55.2,27.7,9.0,21.8311575793119,27.2,17.8,61.2,37.5,17.7,6392162.0,993805.0,3272520.0,741050.0,,,
Italia,2018,,,,48.5,49.9,58.4,39.1,54.4,75.7,25.1,52.0,57.6,64.9,63.2,46.3,72.5,49.6,42.1,30.5,30.4,48.2,48.3,56.7,52.2,73.4,78.0,23.3,27.0,57.2,46.8,65.9,49.4,56.2,73.6,65.6,60.7,64.5,28.0,78.2,66.9,69.7,29.5,45.0,39.2,53.2,7.92,39.3,21.5,49.7,46.7,59.9,36.8,14.645682986087339,504.0,5.0,10.4,23.524912841787422,25.1,0.6,11.9,0.217596189172553,30.896014708056452,25.2,1002.794671808009,34.4,39.3,14.3,19.6,61.8,34.7,11.5,29583.734473288663,66.2,57.6,34.2,8.6,18.0074127373314,26.4,25.5,74.8,35.4,20.3,59937769.0,9715484.0,30781300.0,7436738.0,,0.894,29583.734473288663
Italia,2019,,,,50.7,55.0,59.6,39.8,56.5,77.6,33.1,58.3,59.5,64.9,62.6,49.9,73.2,50.5,43.1,30.3,30.9,50.6,48.6,60.5,52.4,73.4,81.8,29.7,36.4,63.0,53.5,65.2,53.9,54.8,74.9,64.8,60.4,71.2,28.5,78.8,67.7,70.5,30.6,47.1,39.2,52.7,7.92,40.0,21.8,53.3,48.0,58.7,38.5,13.793930544417938,503.0,5.0,8.6,29.84619013862835,32.225,0.5,10.4,0.22194345109337338,28.20223241895228,25.6,996.7376806945528,35.2,39.6,13.3,19.9,62.3,35.1,11.2,30079.952989815683,66.6,57.6,34.1,8.6,17.8038933588677,26.5,26.9,75.4,34.975,21.1,59816673.0,9573155.0,30685478.0,7300719.0,,0.899,30079.952989815683
Italia,2020,,,,51.1,58.3,56.8,40.4,57.9,74.4,39.6,66.3,59.3,64.0,60.5,44.7,68.3,50.1,47.1,30.8,30.4,49.7,49.0,59.0,56.7,67.5,81.2,33.3,45.9,63.0,69.6,65.6,53.1,52.4,75.5,63.1,58.0,65.2,24.3,79.2,57.5,74.1,26.1,46.6,47.7,55.8,5.77,39.0,21.8,54.0,45.4,57.6,40.4,14.124288849503728,487.0,6.1,8.9,33.48569561028313,39.35,0.5,6.8,0.21972663055607072,28.655824046220232,26.3,993.888799734172,36.85,42.05,14.2,17.3,62.6,29.8,9.8,27948.7,66.5,60.1,34.8,7.4,18.1146342799173,26.5,27.2,74.2,34.55,22.0,59641488.0,9433159.0,30591392.0,7161683.0,,0.892,27948.7
Italia,2021,,,,50.9,60.5,53.8,40.4,58.2,74.4,49.8,65.6,57.4,61.0,58.5,51.0,47.7,52.1,44.5,32.2,31.3,49.5,48.7,63.4,53.0,68.6,80.1,44.3,55.4,63.0,68.3,64.0,50.9,51.8,70.3,61.5,55.5,75.2,26.7,79.3,16.0,71.2,32.9,44.0,45.0,54.0,10.4,40.5,22.1,56.1,42.9,56.4,41.0,13.151685665833616,501.0,5.9,9.4,44.402331452860885,46.475,0.5,7.1,0.23100140495054491,30.03149094074137,26.5,1018.1072354338759,38.5,44.5,12.7,18.8,62.7,8.3,10.9,31158.595123822153,66.0,59.3,34.4,10.0,17.6718135892796,26.6,28.0,73.0,34.125,22.3,59236213.0,9351113.0,30369987.0,7063365.0,,0.899,31158.595123822153
Italia,2022,,,,53.5,62.7,58.7,41.5,57.7,75.9,59.3,61.6,60.8,62.1,58.9,55.0,62.1,56.0,46.7,34.5,30.7,51.4,48.1,59.9,55.4,72.3,79.5,53.7,64.9,57.2,66.0,68.4,53.2,51.1,73.1,61.4,56.4,83.3,26.7,79.7,44.5,73.4,38.6,49.1,44.3,58.8,10.2,39.0,22.5,61.3,41.6,55.2,41.0,13.91846764562152,492.0,5.2,9.7,53.7613092001662,53.6,0.6,7.6,0.2,28.612188728984986,26.7,1005.107050913014,38.6,43.6,11.5,18.8,63.0,23.1,10.1,33840.52982715878,67.0,59.1,35.5,9.9,18.0968217969635,26.7,30.0,72.4,33.7,22.3,59030133.0,9218914.0,30211177.0,6915107.0,,0.906,33840.52982715878
