territory,year,area,code,surface,WeWorld Index Italia,Sottoindice Contesto,Sottoindice Minori,Sottoindice Donne,Contesto: Ambiente,Contesto: Abitazione,Contesto: Digitalizzazione,Contesto: Sicurezza e protezione,Contesto: Violenza contro donne e bambini,Minori: Salute,Minori: Istruzione,Minori: Povertà educativa,Minori: Capitale umano,Minori: Capitale economico,Donne: Salute,Donne: Educazione,Donne: Opportunità economiche,Donne: Conciliazione vita-lavoro,Donne: Partecipazione politica,Indicatore 1,Indicatore 2,Indicatore 3,Indicatore 4,Indicatore 5,Indicatore 6,Indicatore 7,Indicatore 8,Indicatore 9,Indicatore 10,Indicatore 11,Indicatore 12,Indicatore 13,Indicatore 14,Indicatore 15,Indicatore 16,Indicatore 17,Indicatore 18,Indicatore 19,Indicatore 20,Indicatore 21,Indicatore 22,Indicatore 23,Indicatore 24,Indicatore 25,Indicatore 26,Indicatore 27,Indicatore 28,Indicatore 29,Indicatore 30,Indicatore 1 (dato),Indicatore 2 (dato),Indicatore 3 (dato),Indicatore 4 (dato),Indicatore 5 (dato),Indicatore 6 (dato),Indicatore 7 (dato),Indicatore 8 (dato),Indicatore 9 (dato),Indicatore 10 (dato),Indicatore 11 (dato),Indicatore 12 (dato),Indicatore 13 (dato),Indicatore 14 (dato),Indicatore 15 (dato),Indicatore 16 (dato),Indicatore 17 (dato),Indicatore 18 (dato),Indicatore 19 (dato),Indicatore 20 (dato),Indicatore 21 (dato),Indicatore 22 (dato),Indicatore 23 (dato),Indicatore 24 (dato),Indicatore 25 (dato),Indicatore 26 (dato),Indicatore 27 (dato),Indicatore 28 (dato),Indicatore 29 (dato),Indicatore 30 (dato),Popolazione (totale),Popolazione (0-17),Popolazione (donne),Popolazione (0-13),EU Social Progress Index 2.0,Subnational HDI,PIL per abitante
Basilicata,2022,Sud,17.0,10073.32,41.9,64.6,48.8,23.3,85.8,71.5,48.3,82.7,46.0,46.3,55.5,54.9,54.1,36.3,39.1,32.9,24.5,50.4,4.37,79.5,92.1,71.3,71.7,37.4,59.2,83.4,82.1,64.0,28.0,22.8,69.7,60.0,51.1,102.0,7.47,79.7,28.5,50.9,21.7,43.5,34.8,56.6,9.17,11.5,37.4,41.6,59.2,4.98,3.75,9.571428571428571,356.0,5.4,13.4,37.52848539685268,49.3,0.2,4.0,0.230511279781337,44.029773462783176,35.0,1020.5535714285714,40.0,48.9,8.649999999999999,7.1,63.0,14.8,18.6,25892.203624397476,65.9,56.3,35.0,9.3,26.2695210284495,31.2,22.4,80.7,15.4,4.8,541168.0,77250.0,274690.0,57151.0,,0.88,25892.203624397476
Basilicata,2023,Sud,17.0,10073.32,42.4,66.1,51.4,22.4,85.8,73.7,51.1,84.8,46.0,46.3,55.9,55.1,65.9,38.1,26.5,40.6,27.1,44.5,4.37,79.5,92.1,71.3,76.1,43.1,59.2,83.4,86.1,64.0,28.0,22.8,69.7,60.8,51.0,103.0,7.47,82.6,49.2,50.9,25.2,37.3,15.7,68.8,12.4,16.3,37.8,41.6,47.3,4.98,3.75,9.571428571428571,356.0,5.4,11.3,43.24264412118323,49.3,0.2,3.1,0.230511279781337,44.029773462783176,35.0,1020.5535714285714,39.2,49.0,8.6,7.1,65.3,25.5,18.6,27538.28912962271,64.7,50.7,37.8,11.1,24.8306112508513,31.3,22.4,75.1,15.4,4.8,537577.0,75492.0,272392.0,55717.0,83.0,,27538.28912962271
Calabria,2018,Sud,18.0,15221.9021,28.0,30.3,32.0,22.7,72.5,48.0,5.61,40.3,32.4,58.5,46.9,17.9,57.0,12.0,33.9,14.0,23.9,13.6,39.0,67.2,77.8,67.0,29.0,6.09,5.13,6.14,74.5,59.0,5.9,26.9,90.2,52.0,41.7,26.4,9.44,68.6,45.5,20.6,3.38,41.9,25.9,25.4,2.54,25.7,22.1,12.2,15.0,77.8,0.341,12.30769230769231,409.0,6.2,33.6,6.30859098235301,8.7,1.8,5.7,0.2667275694616938,57.50891124275367,33.8,925.4302325581396,48.0,58.3,20.0,8.3,54.2,23.6,30.1,17259.730806005944,65.6,53.7,27.8,5.6,22.0430476358504,26.6,11.0,59.8,41.9,3.2,1924257.0,315332.0,981187.0,238761.0,,0.848,17259.730806005944
Calabria,2019,Sud,18.0,15221.9021,33.8,40.0,37.5,25.7,74.3,56.9,12.8,44.6,42.7,66.4,46.0,21.3,57.1,19.9,30.5,13.9,21.6,31.5,39.1,69.2,79.4,79.8,34.1,11.2,14.4,12.9,76.3,67.5,17.9,40.2,92.5,51.0,41.0,33.7,8.95,69.2,44.9,35.9,3.93,36.8,24.2,25.4,2.36,20.7,22.5,12.0,51.1,77.9,0.341,11.84615384615385,403.0,3.8,31.2,11.37368471809803,15.649999999999999,1.6,5.3,0.20613605185558523,50.15576122644192,29.9,914.63671875,49.0,59.0,18.9,8.0,54.7,23.3,24.3,17517.416853029266,64.6,53.2,27.8,5.5,23.5387846947774,26.7,10.9,76.9,41.95,3.2,1912021.0,309448.0,974088.0,234147.0,,0.851,17517.416853029266
Calabria,2020,Sud,18.0,15221.9021,36.5,46.8,39.0,26.6,80.4,51.1,16.7,67.8,48.5,67.2,45.0,25.6,48.7,24.0,34.8,14.8,20.3,27.5,46.1,76.5,84.3,84.0,18.1,9.76,23.6,51.6,83.9,67.3,29.7,39.5,94.8,50.0,39.9,47.1,4.17,68.9,28.5,43.3,4.79,47.1,22.5,27.1,2.54,18.4,22.1,14.5,40.6,78.0,14.2,10.23076923076923,385.0,3.0,38.8,9.97085279822193,22.6,0.7,3.6,0.20778735042557447,42.98609304454639,30.1,904.1102362204724,50.0,60.06666666666667,16.9,5.1,54.5,14.8,21.5,17925.416610314416,66.6,52.7,28.2,5.6,24.2102762645752,26.6,11.9,71.9,42.0,9.7,1894110.0,303661.0,966378.0,229644.0,,0.849,16490.4
Calabria,2021,Sud,18.0,15221.9021,37.7,55.4,35.1,27.5,76.4,57.6,27.7,75.5,56.7,28.1,43.9,35.9,48.1,25.0,40.0,11.2,21.8,28.6,56.5,74.8,78.1,76.1,39.2,22.6,32.9,63.0,87.9,82.6,30.7,29.8,26.5,49.0,38.9,66.5,5.33,70.4,25.8,44.3,5.66,53.8,26.3,16.3,6.13,21.8,21.8,21.5,35.7,78.2,34.8,10.61538461538461,408.0,4.5,28.8,22.80324158293183,29.55,0.5,2.7,0.10539828959655644,42.34387911894624,32.95,1221.6075268817203,51.0,61.13333333333333,14.0,5.8,55.7,13.4,21.1,18333.41636759957,67.9,53.8,25.7,7.6,23.1976340853071,26.5,14.6,69.6,42.05,19.4,1860601.0,301321.0,952616.0,227219.0,,0.851,18333.41636759957
Calabria,2022,Sud,18.0,15221.9021,39.4,51.6,37.5,31.7,79.5,56.9,37.9,64.0,33.1,51.3,43.4,48.3,47.4,14.6,38.4,16.5,21.4,41.9,56.6,78.6,80.5,85.1,28.7,33.7,42.1,41.5,86.6,39.2,27.1,20.1,82.5,49.0,37.8,91.3,5.33,71.6,23.1,20.9,8.37,53.3,23.5,25.0,8.1,20.7,22.1,24.3,59.4,78.3,34.8,9.76923076923077,399.0,2.8,33.75,33.90435268868332,36.5,0.9,3.0,0.42,44.55544623844309,35.8,961.4655172413793,51.0,62.2,10.3,5.8,56.6,12.0,30.0,19612.477085359267,67.8,53.0,27.7,8.7,23.5448577404932,26.6,15.7,80.8,42.1,19.4,1855454.0,296792.0,946965.0,223060.0,,0.859,19612.477085359267
Calabria,2023,Sud,18.0,15221.9021,41.8,56.1,39.9,32.6,79.5,51.7,39.0,63.8,54.5,51.3,45.0,43.3,62.6,16.1,36.0,24.7,20.5,35.6,56.6,78.6,80.5,85.1,18.3,35.9,42.1,41.5,86.1,81.9,27.1,20.1,82.5,50.6,39.3,81.3,5.33,77.3,48.0,20.9,11.4,48.1,23.9,43.2,6.31,18.4,22.5,24.3,46.9,78.3,34.8,9.76923076923077,399.0,2.8,38.7,36.099560773568804,36.5,0.9,3.1,0.11,44.55544623844309,35.8,961.4655172413793,49.4,60.7,11.8,5.8,61.1,24.9,30.0,21049.60382068816,66.8,53.1,31.9,7.7,24.2062956714233,26.7,15.7,74.9,42.1,19.4,1846610.0,291964.0,942391.0,219059.0,82.5,,21049.60382068816
Campania,2018,Sud,15.0,13670.9477,32.8,44.8,35.1,22.4,62.4,61.8,20.1,59.5,39.2,44.5,50.5,20.3,58.7,20.0,37.1,13.1,21.8,9.83,53.7,58.9,65.9,61.2,62.4,22.1,18.2,51.6,67.4,68.3,10.0,21.4,67.5,55.0,46.0,37.1,3.51,67.2,50.3,33.0,6.95,40.9,33.4,22.8,3.44,17.1,26.5,8.08,11.6,63.8,43.6,14.16,453.0,7.3,17.8,22.30993778006672,18.5,0.7,7.3,0.20066168189605224,54.9886986481385,35.4,1030.8976377952756,45.0,54.0,18.4,4.7,53.1,26.1,25.4,18941.793266221568,65.4,55.9,27.2,6.1,24.6083072920565,27.9,9.4,58.2,36.8,23.5,5762889.0,1046335.0,2954012.0,785544.0,,0.856,18941.793266221568
Campania,2019,Sud,15.0,13670.9477,36.2,53.4,37.5,23.7,63.3,70.5,33.3,63.4,46.2,41.7,50.5,23.9,63.2,23.4,45.7,14.2,22.3,10.0,51.2,60.7,65.9,63.3,77.6,40.7,25.9,57.2,69.6,83.1,9.37,13.2,70.1,55.1,45.9,45.1,2.69,66.9,59.6,38.8,7.91,51.2,40.2,26.3,2.19,18.2,26.5,10.7,9.36,58.8,43.6,13.74074074074074,453.0,6.9,10.6,40.80489439640316,24.275,0.6,6.8,0.10224495847150604,55.38725124737164,37.8,1018.945623342175,44.9,54.1,17.2,4.2,52.9,30.9,23.2,19395.932438964755,67.4,57.9,28.0,5.4,24.2866904025268,27.9,10.4,57.150000000000006,35.0,23.5,5740291.0,1026209.0,2940733.0,768285.0,,0.861,19395.932438964755
